#PSTN    AS      AS      Alarm service
DP      DPCAN   PA      Cantonese DP service
DP      DPENG   PB      English DP service
DP      DPPAR1  P1      Call back phone number
DP      DPPAR2  P2      Account Number
DP      DPPAR3  P3      Subscriber's id
HLR	ACB	90      ALL CALL BARRING
HLR	ACB	A7	Automatic Call Barring
HLR	ACC	AC	Account Codes
HLR	AOC	71    	Advice of Charge
HLR	AOCI    72      Advice of Charge (information)
HLR	AOR	A6	Automatic Origination Restriction 
HLR	ASU	18	Operator-Controlled Absent Subscriber Service
HLR	ASYNC	AS	HSCSD Asynchronous data
HLR	AUC	AU	Authentication
HLR	BAIC	9A    	Barring of All Incoming Calls
HLR	BAOC	92    	Barring of All Outgoing Calls
HLR	BAOCS	91	All Barring of all Outgoing Call Services
HLR	BICRO	9B    	Barring of all Incoming Calls when Roaming Outside the Home PLMN Country
HLR	BOIC	93    	Barring of All Outgoing International Calls
HLR	BOIEXH	94    	Barring of All Outgoing International Calls Except those directed to the Home PLMN Country
HLR	BORO	9N	Barring of outgoing calls when roaming outside home PLMN
HLR	BS16	F8	Basicservice "Data service 9600"
HLR	BS26	B6	Basic service B26
HLR	BS90	G0	GPRSservice "GPRS"
HLR	CA	N3	Charging area
HLR	CAMEL	O5	CAMEL 	
HLR	CAMELSO	CA	CAMEL Subscription Options
HLR	CAPL	CP	Channel Allocation Priority Level
HLR	CAT	S1	Subscriber Category
HLR	CAW	41    	Call Waiting
HLR	CBA	25	Outgoing Call Barring Trunk Discrimination
HLR	CCB	97	Subscriber-Controlled Code Control Barring 
HLR	CCC	CC	Control Channel Capability
HLR	CFB	29    	Call Forwarding on Mobile Subscriber Busy
HLR	CFNRC	2B    	Call Forwarding on Mobile Subscriber Not Reachable
HLR	CFNRY	2A    	Call Forwarding on No Reply
HLR	CFU	21	Call Forwarding Unconditional
HLR	CHC	N2	Charging class
HLR	CIN	32	Call Transfer IN service
HLR	CLIP	11	Calling Line Identification Presentation
HLR	CLIR	12	Calling Line Identification Restriction
HLR	CNIP	NA	Calling Name Identification Presentation
HLR	CNIR	27	Calling Name Identification Restriction
HLR	COLP	13	Connected line identification presentation
HLR	COLR	14	Connected line identification restriction
HLR	CT	31	Call Transfer
HLR	CUG	61    	Closed User Group
HLR	DBSG	2K	Default Basic Service Group
HLR	DCF	2H	Default Call Forwarding	
HLR	DPR	26	Data Privacy
HLR	DUT	DU	Digital Voice Privacy (DUT)
HLR	DVP	DV	Digital Voice Privacy (DVP)
HLR	EMA	EM	Emergency Area
HLR	EXTIN	EI	Extended Intelligent Network Data
HLR	GPRS	O8
HLR	HB	N4	Hot billing
HLR	HOLD	42    	Call Hold
HLR	HPN	HP	High Penetration Notification
HLR	ICI	43    	Immediate Call Itemisation
HLR	ICK	O7	Intelligent Network Category Key
HLR	ICS	IC	Interception Service
HLR	INSP	O1	Intelligent Network Service Profile
HLR	LCS	LC	LCS client address
HLR	LLR	2L	Land Line Retreival
HLR	M8ICK	N6	Intelligent Network Category Key
HLR	M8SSET	N5	Service set index
HLR	MAR	MA	Mobile Autonomous Registration
HLR	MC	MC	Malicious Call Trace      
HLR	MCD	C3	Mobile Call Delivery
HLR	MCN	73	Mobile Charging Area Notification
HLR	MM	02	Mobile Management
HLR	MM	O2
HLR	MMINT	M1	Mobility Management IN Triggering
HLR	MPTY	51    	Multi Party Service
HLR	MSA	MS	Mobile Subscription Area
HLR	MVP     81      Mobile Voice Privacy
HLR	MWI     MW      Message Waiting Indicator
HLR	NAM	NM
HLR	OBI	9C 	Operator Determined Barring of Incoming Calls
HLR	OBO	9D 	Operator Determined Barring of Outgoing Calls
HLR	OBOPRE	9F 	Operator determined barring of outgoing premium rate calls (entertainment)
HLR	OBOPRI	9G 	Operator determined barring of outgoing premium rate calls (information)
HLR	OBR	9M 	Operator determined barring of roaming outside home PLMN
HLR	OBRFN	9P 	Operator determined barring of registration of forward-to-number
HLR	OBSSM	9H 	Operator determined barring of supplementary services management
HLR	OBZI	9Q	Operator Determined Barring of Incoming Inter-Zonal Calls (the code ends with capital letter o)
